Patient_ID,GeneSymbol,logFC
GSM1588970,TRIP13,4.403014889198788
GSM1588970,CDC20,4.2906909916991385
GSM1588970,EZH2,4.145061955314543
GSM1588970,BIRC5,2.7495258918235344
GSM1588970,TK1,2.7332026533359555
GSM1588970,BCL2A1,2.575635891038007
GSM1588970,IRF9,2.5438353939550478
GSM1588970,PLAUR,2.447679115393832
GSM1588970,PARP1,2.153753789014589
GSM1588970,STAT1,2.1530644527846867
GSM1588970,CASP3,2.026215652241147
GSM1588970,MCM7,2.0078793500189445
GSM1588970,PLAU,1.9652884289983925
GSM1588970,PMAIP1,1.9273422627348893
GSM1588970,LAPTM5,1.8814542444449902
GSM1588970,CCND1,1.8667816119198921
GSM1588970,HSP90AB1,1.8004066146901287
GSM1588970,BTG3,1.716537024097887
GSM1588970,UBQLN1,1.6743003284935227
GSM1588970,BAX,1.6486399357120467
GSM1588970,SQSTM1,1.560232233703748
GSM1588970,MYC,1.4756068531197144
GSM1588970,BCL11A,1.4674423692338676
GSM1588970,ST14,1.416475216106348
GSM1588970,XIAP,1.3197869692790771
GSM1588970,SLC3A2,1.3015266416686178
GSM1588970,YWHAB,1.2721004861336542
GSM1588970,TM4SF1,1.1806525220313357
GSM1588970,IRF2BP2,1.1339076821462655
GSM1588970,CTSD,1.1136117856510488
GSM1588970,BID,1.0932272368913996
GSM1588970,KRT5,1.0776980008450998
GSM1588970,BAK1,1.0528780663285096
GSM1588970,FADD,1.032091902691719
GSM1588970,BAD,1.023089939764807
GSM1588970,HIF1A,1.0137019354573944
GSM1588970,HDAC1,0.9885164293478965
GSM1588970,RELA,0.9768297265758967
GSM1588970,TRIM29,0.9702620464249447
GSM1588970,ACTB,0.961382802805673
GSM1588970,CSNK2B,0.9469120631854935
GSM1588970,MCL1,0.9312367637508352
GSM1588970,CREB1,0.9245638477669615
GSM1588970,LDHB,0.8759119951875558
GSM1588970,DDR1,0.8694136398339847
GSM1588970,ETS1,0.8547303418316927
GSM1588970,PSMD4,0.8002329326407356
GSM1588970,GADD45B,0.7996484410606834
GSM1588970,NFKB1,0.789260549848243
GSM1588970,MAP3K7,0.7789225337837529
GSM1588970,STAT3,0.7406224927500888
GSM1588970,DAXX,0.7282017070210669
GSM1588970,CD44,0.7168464746894214
GSM1588970,TGFB1,0.6746874845356219
GSM1588970,CASP6,0.6728898003617436
