Target_Gene;Source_Gene;Interaction_Type;Reason
AKT2;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.8959795991371937) vs Target AKT2 (-0.4251887719244545)
BAK1;BAX;1;Incoherent Outgoing: Source BAX (1.772209068034142) vs Target BAK1 (-0.4563375604619502)
BAK1;BCL2;-1;Incoherent Outgoing: Source BCL2 (-1.069935114440395) vs Target BAK1 (-0.4563375604619502)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.4473685786719308) vs Target BAX (1.772209068034142)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.5932790550108038) vs Target BAX (1.772209068034142)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.135970031114124) vs Target BCL2 (-1.069935114440395)
BCL2L11;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.069935114440395) vs Target BCL2L11 (0.6151951309371926)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.7715625182959576) vs Target BCL6 (-1.7732495487925668)
BRCA1;MAPK3;1;Incoherent Outgoing: Source MAPK3 (-1.1186998302543447) vs Target BRCA1 (0.9409476298703714)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (1.442600564905188) vs Target CASP10 (-0.675157388771372)
CASP3;CDKN1A;-1;Incoherent Outgoing: Source CDKN1A (1.492554809087551) vs Target CASP3 (1.442600564905188)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.0565039864796848) vs Target CASP3 (1.442600564905188)
CASP6;XIAP;-1;Incoherent Outgoing: Source XIAP (1.0565039864796848) vs Target CASP6 (0.7011201724307794)
CASP8;BCL2;-1;Incoherent Outgoing: Source BCL2 (-1.069935114440395) vs Target CASP8 (-0.35849035033718923)
CASP8;CASP3;1;Incoherent Outgoing: Source CASP3 (1.442600564905188) vs Target CASP8 (-0.35849035033718923)
CCND1;FOS;1;Incoherent Outgoing: Source FOS (-1.708710557270539) vs Target CCND1 (2.6464908796448885)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6589480554432399) vs Target CCND1 (2.6464908796448885)
CD44;FOS;1;Incoherent Outgoing: Source FOS (-1.708710557270539) vs Target CD44 (0.7435371261796586)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.9786674545408296) vs Target CREB1 (1.135970031114124)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.9786674545408296) vs Target E2F1 (0.5278486989268787)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.7155301128656264) vs Target E2F1 (0.5278486989268787)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (2.1765886338739886) vs Target E2F1 (0.5278486989268787)
E2F1;SETDB1;-1;Incoherent Outgoing: Source SETDB1 (1.115539644016609) vs Target E2F1 (0.5278486989268787)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (2.7171350745657588) vs Target EGFR (-0.43537220293893775)
EPHA2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.135970031114124) vs Target EPHA2 (-0.5224031443785053)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6589480554432399) vs Target EZH2 (3.707825958850063)
FOS;CREB1;1;Incoherent Outgoing: Source CREB1 (1.135970031114124) vs Target FOS (-1.708710557270539)
FOS;PARP1;1;Incoherent Outgoing: Source PARP1 (2.1765886338739886) vs Target FOS (-1.708710557270539)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6589480554432399) vs Target HDAC1 (0.4422976491299071)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.9786674545408296) vs Target HIF1A (0.7690672584062934)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.069935114440395) vs Target HIF1A (0.7690672584062934)
HIF1A;MCM7;-1;Incoherent Outgoing: Source MCM7 (1.5623061774255333) vs Target HIF1A (0.7690672584062934)
IKBKG;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.8959795991371937) vs Target IKBKG (-0.5033073835203385)
IKBKG;MAP3K7;1;Incoherent Outgoing: Source MAP3K7 (1.2720999808463826) vs Target IKBKG (-0.5033073835203385)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.1081901968325276) vs Target MCL1 (1.5932790550108038)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (2.9848511471066885) vs Target MCL1 (1.5932790550108038)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.231044361506364) vs Target MCL1 (1.5932790550108038)
MTA1;PARP1;-1;Incoherent Outgoing: Source PARP1 (2.1765886338739886) vs Target MTA1 (0.7670299181821605)
NFE2L2;CAV1;-1;Incoherent Outgoing: Source CAV1 (-3.1081901968325276) vs Target NFE2L2 (-0.33062293966700995)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.442600564905188) vs Target PARP1 (2.1765886338739886)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.135970031114124) vs Target PLAT (-0.6945706036134807)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.1081901968325276) vs Target PLAUR (0.999689466417049)
PLAUR;FOS;1;Incoherent Outgoing: Source FOS (-1.708710557270539) vs Target PLAUR (0.999689466417049)
PMAIP1;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.069935114440395) vs Target PMAIP1 (2.231044361506364)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.8959795991371937) vs Target STAT5A (-1.6589480554432399)
SYNPO;YWHAB;1;Incoherent Outgoing: Source YWHAB (1.1561167843250537) vs Target SYNPO (-0.7140994866044874)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-2.7380859171045753) vs Target TGFB1 (0.41383479363207165)
TGFB1;FOS;1;Incoherent Outgoing: Source FOS (-1.708710557270539) vs Target TGFB1 (0.41383479363207165)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (2.8959795991371937) vs Target TGFB1 (0.41383479363207165)
TP53;EZH2;-1;Incoherent Outgoing: Source EZH2 (3.707825958850063) vs Target TP53 (0.9016258647671265)
TP53;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (2.8959795991371937) vs Target TP53 (0.9016258647671265)
TP53;PLAU;-1;Incoherent Outgoing: Source PLAU (1.3164063672683977) vs Target TP53 (0.9016258647671265)
TP53;SETDB1;-1;Incoherent Outgoing: Source SETDB1 (1.115539644016609) vs Target TP53 (0.9016258647671265)
TP53;UBE2D1;-1;Incoherent Outgoing: Source UBE2D1 (1.0531322017162648) vs Target TP53 (0.9016258647671265)
XIAP;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6589480554432399) vs Target XIAP (1.0565039864796848)
