Patient_ID,GeneSymbol,logFC
GSM1589003,BCL2A1,6.809914259927577
GSM1589003,CDC20,4.698114069026957
GSM1589003,STAT1,4.023399214109524
GSM1589003,LAPTM5,3.5428041391314906
GSM1589003,EZH2,3.415763071991134
GSM1589003,PLAU,3.258768625894888
GSM1589003,PLAUR,3.077284236734176
GSM1589003,BIRC5,2.982451250766389
GSM1589003,TRIP13,2.955501419919168
GSM1589003,TK1,2.938972162719602
GSM1589003,HSP90AB1,2.635771767660394
GSM1589003,PMAIP1,2.4189014384708987
GSM1589003,BAX,2.122746871071767
GSM1589003,CASP3,1.9392706541609783
GSM1589003,SERPINA3,1.9220377904166401
GSM1589003,IFI16,1.9154699001690378
GSM1589003,FOS,1.8788683097149512
GSM1589003,CD44,1.8129840316493286
GSM1589003,IRF9,1.7350436448782087
GSM1589003,SLC3A2,1.697174684730987
GSM1589003,HIF1A,1.6885080621704933
GSM1589003,UBQLN1,1.5843797082165914
GSM1589003,MCL1,1.5080700723283513
GSM1589003,PARP1,1.4552784391287474
GSM1589003,MAP3K7,1.4506282580430527
GSM1589003,REL,1.3794617065400834
GSM1589003,SAT1,1.3474121012889295
GSM1589003,NFKB1,1.3469123437465624
GSM1589003,BTG3,1.3314871561283672
GSM1589003,BID,1.280409593370086
GSM1589003,VIM,1.2776340794479513
GSM1589003,ACTB,1.2708402668401835
GSM1589003,CREB1,1.2403302677535502
GSM1589003,STAT3,1.2156526642014347
GSM1589003,UBE2D1,1.1728947404524712
GSM1589003,XIAP,1.1582974572810816
GSM1589003,CTSD,1.0166025603582085
GSM1589003,IRF2BP2,1.0055255678140131
GSM1589003,MYC,0.9984547062651341
GSM1589003,GADD45B,0.9758919927005882
GSM1589003,TGFBR1,0.9741716407547845
GSM1589003,MAP3K4,0.9542028733132693
GSM1589003,CASP7,0.9163212060110189
GSM1589003,ATF2,0.9110804603848983
GSM1589003,BCL2L11,0.8798210528224288
GSM1589003,HMGCR,0.8741656396082407
GSM1589003,CYCS,0.852119502840921
GSM1589003,ETS1,0.8441706716893762
GSM1589003,CASP8,0.8077090762207968
GSM1589003,TGFB1,0.7705344789794228
GSM1589003,HSPB1,0.7566707580990713
GSM1589003,LDHB,0.7071015578371043
GSM1589003,RELA,0.7007989230293461
GSM1589003,DIABLO,0.6973765793387106
GSM1589003,RB1,0.6841361971051576
GSM1589003,TP53,0.6591942568197053
GSM1589003,NCOA4,0.6492280133830697
GSM1589003,MCM7,0.6450658941779128
GSM1589003,ST14,0.6232965781544424
GSM1589003,MAP3K5,0.6068060295057025
GSM1589003,BIRC2,0.588056600265416
GSM1589003,BCL11A,0.5812598708243994
GSM1589003,CASP2,0.5603517439453292
GSM1589003,YWHAB,0.5420737996128544
GSM1589003,GABPA,0.5420672466729757
GSM1589003,CDKN1A,0.5366112862213299
GSM1589003,NFE2L2,0.4996149276895867
GSM1589003,NEDD9,0.49416511785489803
GSM1589003,ERBB2,0.48731150161922354
GSM1589003,CSNK2B,0.46412660905155434
GSM1589003,PML,0.4418923233822394
GSM1589003,TGFBR2,0.44146676080281466
GSM1589003,PLK2,0.3648265016933081
GSM1589003,S100A10,0.3523671290210011
GSM1589003,FADD,0.34903230357187986
GSM1589003,CASP6,0.33625943025589944
GSM1589003,APAF1,0.3296210173272591
GSM1589003,E2F1,0.325984928349194
GSM1589003,BCL2L1,0.32355755606170167
GSM1589003,SQSTM1,0.31627704530840184
GSM1589003,ITGB4,0.3068501651366651
GSM1589003,NR3C1,0.30221219248992526
GSM1589003,WWP1,0.30009017929473814
GSM1589003,ARAF,0.29707198548022173
GSM1589003,BAD,0.20617731515218019
GSM1589003,TRADD,0.12383085093116097
GSM1589003,ARNT,0.11797958812020237
