Target_Gene;Source_Gene;Interaction_Type;Reason
AKT2;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (1.7468356928807598) vs Target AKT2 (-0.5900645623129304)
BAK1;BCL2;-1;Incoherent Outgoing: Source BCL2 (-1.2763060657820553) vs Target BAK1 (-0.7736699403742309)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.301619970992662) vs Target BCL2 (-1.2763060657820553)
BCL2L11;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.2763060657820553) vs Target BCL2L11 (0.4406091583527667)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.6004522336350941) vs Target BID (1.9657657610710233)
BRCA1;MTA1;-1;Incoherent Outgoing: Source MTA1 (1.2182144764018608) vs Target BRCA1 (0.9373744247738811)
CASP6;CASP3;1;Incoherent Outgoing: Source CASP3 (1.9872608799561071) vs Target CASP6 (-0.7643473450919105)
CASP6;CASP7;1;Incoherent Outgoing: Source CASP7 (1.0839652847581478) vs Target CASP6 (-0.7643473450919105)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (3.2197694860383184) vs Target CASP7 (1.0839652847581478)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.9872608799561071) vs Target CASP9 (-0.4279428589069614)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (2.042678947005423) vs Target CAV1 (-2.3339964201077024)
CCND1;ATF2;1;Incoherent Outgoing: Source ATF2 (1.1393798435268696) vs Target CCND1 (-1.3613138144575512)
CCND1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-2.3339964201077024) vs Target CCND1 (-1.3613138144575512)
CCND1;CREB1;1;Incoherent Outgoing: Source CREB1 (1.301619970992662) vs Target CCND1 (-1.3613138144575512)
CCND1;EZH2;1;Incoherent Outgoing: Source EZH2 (4.368256122540763) vs Target CCND1 (-1.3613138144575512)
CCND1;FOS;1;Incoherent Outgoing: Source FOS (2.455723308050981) vs Target CCND1 (-1.3613138144575512)
CCND1;MTA1;1;Incoherent Outgoing: Source MTA1 (1.2182144764018608) vs Target CCND1 (-1.3613138144575512)
