GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
A2M,7.94022148911824,8.3853823508901,8.562141704275774,7.976217704216929,8.257863972234885,8.16473455573189,8.320998555312764,8.22862201556064,8.12201219557284,8.40474393010169,8.29638792076706,8.29281578790831
ACTB,13.467188980606618,11.830217166868966,12.192179352394056,13.087090320284373,12.782085830404428,12.169065065108006,12.908405267924111,12.31803313201742,12.587788213660108,12.018162082555243,12.751290432195644,12.84216823422222
AKT2,5.765024257125155,6.04074190234655,5.8606342898250965,6.2069957077812115,5.732748724566458,6.01563766084078,5.873517995086753,6.204546384049905,5.863208407649302,6.209400099001108,6.010470760444837,6.277332371628454
ANXA1,7.92075310004345,8.067860971996556,7.424150523125496,8.6259031611713,10.549350959315444,7.0536835308191,9.20859275372316,8.78250102654293,8.515504650363834,8.9654228089461,8.96882678390348,9.779533704871024
APAF1,5.27285259509911,5.697856337206276,5.7104082663244995,5.152213316341396,5.228254656883653,5.478797096198591,5.452316464806192,5.16009220276346,5.35210165571694,5.527749853077236,5.229885574152397,5.11744050757488
AR,5.337467248383873,7.692726187620332,6.821046049320597,7.854045901485096,8.057695412558456,7.848486307161905,7.774408825645958,7.737984465573705,7.472448378100683,7.218214790114573,8.381110913945856,8.264661451476385
ARAF,5.686964889096281,5.9699576405764105,5.558409578173275,5.97610618581038,5.77338133081064,5.670456757720305,5.827744423244465,5.656743752466025,5.81787979677388,5.4912264644939945,6.02813829864217,6.106117450784755
ARNT,6.011035684303633,6.357548518373736,5.755181683884934,6.061986230789613,5.887635216056822,5.791502873916172,5.654325753709279,5.953970884020118,5.8060115527743354,6.26540503434192,6.120906518458983,6.0848352744484435
ARRB1,6.055578793318473,7.619860512430594,6.765120113522237,7.660394453200917,7.404600337091204,7.618208977691795,7.365374742876929,7.677458112619843,7.531747651159489,7.510280128558932,7.465345439203063,7.244868017964293
ATF2,5.5294556669040205,5.511317789070073,5.331582879486137,5.134187733945233,5.3191800909580165,5.224287484688706,5.414366326249673,5.2237436594815065,5.353283541005793,5.377801907488897,5.3027384058317635,5.376053308701727
