Target_Gene;Source_Gene;Interaction_Type
A2M;PPARG;1
ACTB;HSP90AB1;1
ACTB;SYNPO;1
ACTB;TP53;-1
AKT2;ARRB1;1
AKT2;BCL11A;-1
AKT2;BRCA1;-1
AKT2;CAV1;1
AKT2;EZH2;-1
AKT2;HSP90AB1;1
AKT2;PIK3CA;1
AKT2;TRIB3;-1
APAF1;CYCS;1
APAF1;CASP9;1
APAF1;XIAP;-1
AR;CASP8;-1
AR;DAXX;-1
AR;MAPK4;1
ARAF;CSNK2B;1
ARNT;BRCA1;1
ARNT;HIF1A;1
ARNT;RELA;1
ARNT;STAT5A;-1
ATF2;BRCA1;1
ATF2;RB1;1
BAD;AKT2;-1
BAD;PIK3CA;-1
BAD;YWHAB;-1
BAK1;BAX;1
BAK1;BCL2;-1
BAK1;BCL2L11;1
BAK1;TP53;1
BAX;BAK1;1
BAX;BCL2;-1
BAX;BCL2L1;-1
BAX;BCL2L11;1
BAX;BID;1
BAX;IRF2BP2;-1
BCL2;NFKB1;1
BCL2;CREB1;1
BCL2;BAD;-1
BCL2;BCL2L11;-1
BCL2;BRCA1;-1
BCL2;IRF2BP2;-1
BCL2;PMAIP1;-1
BCL2;TP53;-1
BCL2A1;BCL2L11;1
BCL2L1;AR;1
BCL2L1;ATF2;1
BCL2L1;BAD;-1
BCL2L1;BCL2;-1
BCL2L1;BCL2L11;-1
BCL2L1;CDC20;-1
BCL2L1;CREB1;1
BCL2L1;ERBB2;-1
BCL2L1;ETS1;1
BCL2L1;FOS;1
BCL2L1;GABPA;1
BCL2L1;HDAC1;-1
BCL2L1;HIF1A;1
BCL2L1;NFE2L2;1
BCL2L1;NFKB1;1
BCL2L1;PMAIP1;-1
BCL2L1;REL;1
BCL2L1;RELA;1
BCL2L1;STAT1;1
BCL2L1;STAT3;1
BCL2L1;STAT5A;1
BCL2L1;TP53;-1
BCL2L11;BCL2;1
BCL2L11;YWHAB;1
BCL6;BCL11A;1
BID;CASP10;1
BID;CASP3;1
BID;CASP8;1
BID;CASP9;1
BID;STAT1;1
BID;TP53;1
BIRC2;CASP8;-1
BIRC2;HIF1A;1
BIRC5;DIABLO;1
BIRC5;XIAP;1
BRCA1;AKT2;1
BRCA1;CREB1;1
BRCA1;GABPA;1
BRCA1;HDAC1;-1
BRCA1;MAPK3;1
BRCA1;MTA1;-1
BRCA1;NFE2L2;1
BRCA1;PARP1;1
BRCA1;PML;-1
BRCA1;RB1;-1
BRCA1;TP53;-1
BTG3;TP53;1
CASP10;CASP3;1
CASP10;CASP6;1
CASP10;CASP8;1
CASP10;FADD;1
CASP2;CASP8;1
CASP2;STAT1;1
CASP3;BIRC2;-1
CASP3;CASP10;1
CASP3;CASP6;1
CASP3;CASP8;1
CASP3;CASP9;1
CASP3;CDKN1A;-1
CASP3;XIAP;-1
CASP6;CASP10;1
CASP6;CASP3;1
CASP6;CASP7;1
CASP6;XIAP;-1
CASP7;BIRC2;-1
CASP7;CASP10;1
CASP7;CASP6;1
CASP7;CASP9;1
CASP7;XIAP;-1
CASP8;BCL2;-1
CASP8;BIRC2;-1
CASP8;CASP10;1
CASP8;CASP3;1
CASP8;FADD;1
CASP8;RXRA;1
CASP8;SQSTM1;1
CASP8;STAT1;1
CASP9;AKT2;-1
CASP9;APAF1;1
CASP9;BCL2L1;-1
CASP9;BIRC2;-1
CASP9;BIRC5;-1
CASP9;XIAP;-1
CAV1;ARNT;1
CAV1;EGFR;1
CAV1;ETS1;1
CAV1;SQSTM1;-1
CAV1;STAT3;1
CAV1;TP53;-1
CCND1;ATF2;1
CCND1;CAV1;-1
CCND1;CREB1;1
CCND1;E2F1;1
CCND1;EGFR;1
CCND1;ETS1;1
CCND1;EZH2;1
CCND1;FOS;1
CCND1;HINT1;-1
CCND1;MTA1;1
CCND1;NFKB1;1
CCND1;NR3C1;-1
CCND1;PARP1;1
CCND1;PML;-1
CCND1;PSMD4;-1
CCND1;REL;1
CCND1;RELA;1
CCND1;STAT1;1
CCND1;STAT5A;1
CCND1;TNRC6A;-1
CCND1;TP53;-1
CD44;E2F1;-1
CD44;ETS1;1
