Target_Gene;Source_Gene;Interaction_Type;Reason
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.0068736737464397) vs Target ACTB (0.6583974504266354)
AKT2;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (1.9454825280323593) vs Target AKT2 (-0.3221501013111485)
BAK1;BCL2A1;-1;Incoherent Outgoing: Source BCL2A1 (2.8562369144825066) vs Target BAK1 (0.8296367662689397)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.099790969953398) vs Target BAX (1.3410285928665324)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.093697706756383) vs Target BCL2 (-1.2783726360745922)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.5150023520499554) vs Target BCL2 (-1.2783726360745922)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.9946718983635696) vs Target BCL6 (-2.33312470730628)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.478954136346518) vs Target CAV1 (-3.3583514708108826)
CCND1;FOS;1;Incoherent Outgoing: Source FOS (-1.0470858399275098) vs Target CCND1 (2.2845535673993886)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.22215230489161) vs Target CCND1 (2.2845535673993886)
CD44;FOS;1;Incoherent Outgoing: Source FOS (-1.0470858399275098) vs Target CD44 (0.9161280541780235)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3909934368138384) vs Target CREB1 (1.5150023520499554)
CREB1;DAXX;-1;Incoherent Outgoing: Source DAXX (1.0413312191719983) vs Target CREB1 (1.5150023520499554)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3909934368138384) vs Target E2F1 (0.617818028430154)
E2F1;IFI16;-1;Incoherent Outgoing: Source IFI16 (1.0809437485785978) vs Target E2F1 (0.617818028430154)
E2F1;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.093697706756383) vs Target E2F1 (0.617818028430154)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.922609252381939) vs Target E2F1 (0.617818028430154)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (3.4914286347066987) vs Target EGFR (-0.6301947776459667)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.22215230489161) vs Target EZH2 (4.474562054617864)
FOS;CREB1;1;Incoherent Outgoing: Source CREB1 (1.5150023520499554) vs Target FOS (-1.0470858399275098)
FOS;PARP1;1;Incoherent Outgoing: Source PARP1 (1.922609252381939) vs Target FOS (-1.0470858399275098)
FOS;STAT1;1;Incoherent Outgoing: Source STAT1 (2.443256089960972) vs Target FOS (-1.0470858399275098)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.22215230489161) vs Target HDAC1 (0.7740891327660666)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3909934368138384) vs Target HIF1A (0.8380197448280935)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.2783726360745922) vs Target HIF1A (0.8380197448280935)
HIF1A;MCM7;-1;Incoherent Outgoing: Source MCM7 (1.7096509316434538) vs Target HIF1A (0.8380197448280935)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.443256089960972) vs Target HIF1A (0.8380197448280935)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (2.443256089960972) vs Target KRT17P5 (-0.5369207118130026)
MAPK3;VIM;1;Incoherent Outgoing: Source VIM (1.2940379768124153) vs Target MAPK3 (-0.7062793569995058)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.3583514708108826) vs Target MCL1 (0.9663492750830684)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.026170121346498) vs Target MCL1 (0.9663492750830684)
MTA1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.922609252381939) vs Target MTA1 (0.41183517510112644)
NFE2L2;CAV1;-1;Incoherent Outgoing: Source CAV1 (-3.3583514708108826) vs Target NFE2L2 (-0.3968407148423445)
NFE2L2;CSNK2B;1;Incoherent Outgoing: Source CSNK2B (1.5912804627836934) vs Target NFE2L2 (-0.3968407148423445)
NFKB1;FOS;1;Incoherent Outgoing: Source FOS (-1.0470858399275098) vs Target NFKB1 (1.093697706756383)
PAX6;PPARG;1;Incoherent Outgoing: Source PPARG (-2.882178676850029) vs Target PAX6 (0.6338936782537514)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.5150023520499554) vs Target PLAT (-2.0108485475646907)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.3583514708108826) vs Target PLAUR (1.478954136346518)
PLAUR;FOS;1;Incoherent Outgoing: Source FOS (-1.0470858399275098) vs Target PLAUR (1.478954136346518)
PPARG;SMAD3;-1;Incoherent Outgoing: Source SMAD3 (-1.5314655260659569) vs Target PPARG (-2.882178676850029)
REL;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.093697706756383) vs Target REL (0.5423437898759875)
