patient_id,k,driver_nodes,baseline_sync_score,sync_attractor_fixed_point,control_rate_%,mean_async_score,sd_async_score,n_clusters,cluster_breakdown,mean_hamming_success_cluster,pct_state_identical_success_cluster
TNBC_GSM1588974,3,"TGFB1,TRIP13,CSNK2B",25,False,70.0,21.33,5.68,4,"25/26: 70.0%, 15/26: 7.0%, 14/26: 1.0%, 12/26: 22.0%",7.21,0.0
TNBC_GSM1588979,2,"CREB1,CDKN1A",23,True,49.0,19.94,3.01,2,"23/26: 49.0%, 17/26: 51.0%",0.0,100.0
TNBC_GSM1588982,3,"CREB1,RXRA,TRIP13",23,True,100.0,23.0,0.0,1,23/26: 100.0%,0.12,96.0
TNBC_GSM1589003,1,TK1,25,True,6.0,20.7,4.23,5,"25/26: 6.0%, 24/26: 54.0%, 16/26: 30.0%, 15/26: 8.0%, 12/26: 2.0%",0.0,100.0
TNBC_GSM1589009,4,"ATF2,CDKN1A,PARP1,TRIP13",23,True,0.0,18.12,3.5,6,"22/26: 41.0%, 20/26: 1.0%, 19/26: 8.0%, 15/26: 43.0%, 14/26: 2.0%, 13/26: 5.0%",n/a,n/a
TNBC_GSM1589012,3,"RELA,RXRA,ACTB",23,True,50.0,19.17,4.76,5,"23/26: 50.0%, 21/26: 16.0%, 15/26: 3.0%, 13/26: 14.0%, 12/26: 17.0%",0.0,100.0
TNBC_GSM1589014,2,"CDKN1A,TRIP13",22,True,50.0,19.68,2.69,3,"22/26: 50.0%, 20/26: 17.0%, 16/26: 33.0%",4.18,50.0
TNBC_GSM1589024,2,"TK1,TGFBR2",25,False,39.0,18.89,5.04,6,"25/26: 39.0%, 17/26: 4.0%, 16/26: 27.0%, 15/26: 14.0%, 13/26: 12.0%, 12/26: 4.0%",9.9,0.0
TNBC_GSM1589028,1,DAXX,23,True,18.0,17.69,3.44,4,"23/26: 18.0%, 20/26: 28.0%, 15/26: 49.0%, 12/26: 5.0%",4.22,33.3
TNBC_GSM1589035,6,"ETS1,HIF1A,NCOA4,BCL11A,TRIP13,CSNK2B",25,True,16.0,19.92,3.91,6,"25/26: 16.0%, 24/26: 13.0%, 21/26: 35.0%, 16/26: 14.0%, 15/26: 13.0%, 14/26: 9.0%",0.0,100.0
TNBC_GSM1589037,1,FOS,23,True,57.0,19.99,3.48,2,"23/26: 57.0%, 16/26: 43.0%",3.51,31.6
TNBC_GSM1589039,3,"TRIB3,IKBKG,RXRA",25,False,99.0,24.99,0.1,2,"25/26: 99.0%, 24/26: 1.0%",6.99,0.0
TNBC_GSM1589061,4,"RXRA,STAT3,TM4SF1,FOS",23,True,81.0,21.49,3.18,5,"23/26: 81.0%, 18/26: 2.0%, 15/26: 15.0%, 13/26: 1.0%, 12/26: 1.0%",1.65,22.2
