Patient_ID,Total_Network_Genes,CVC_p_90,Active_Nodes_p_90,CVC_p_95,Active_Nodes_p_95,CVC_p_99,Active_Nodes_p_99
GSM1588970,137,1.128,29,1.437,23,2.017,11
GSM1588974,137,1.2,27,1.535,23,2.164,9
GSM1588975,137,1.214,33,1.566,22,2.225,12
GSM1588976,137,1.31,29,1.678,21,2.368,12
GSM1588977,137,1.243,37,1.595,27,2.254,12
GSM1588979,137,1.164,25,1.491,17,2.103,11
GSM1588980,137,1.248,27,1.593,21,2.242,8
GSM1588982,137,1.133,31,1.449,22,2.042,11
GSM1588984,137,1.196,32,1.543,22,2.194,13
GSM1588985,137,1.162,34,1.498,21,2.129,10
GSM1588986,137,1.314,28,1.678,23,2.361,13
GSM1588988,137,1.219,29,1.571,23,2.232,15
GSM1588993,137,0.975,34,1.252,26,1.773,15
GSM1588995,137,1.297,35,1.653,24,2.32,15
GSM1589003,137,1.203,33,1.544,22,2.184,12
GSM1589004,137,1.271,29,1.631,23,2.305,11
GSM1589005,137,1.329,27,1.705,17,2.409,9
GSM1589009,137,1.191,28,1.521,22,2.141,15
GSM1589011,137,1.107,35,1.423,24,2.015,10
GSM1589012,137,1.301,27,1.669,19,2.36,9
GSM1589014,137,1.18,26,1.517,18,2.148,10
GSM1589016,137,1.208,32,1.55,18,2.191,11
GSM1589017,137,1.179,26,1.516,20,2.149,13
GSM1589024,137,1.058,33,1.363,23,1.935,14
GSM1589028,137,1.181,24,1.51,18,2.128,9
GSM1589031,137,1.192,30,1.53,24,2.165,14
GSM1589035,137,1.163,41,1.492,29,2.11,15
GSM1589037,137,0.985,31,1.271,23,1.807,15
GSM1589038,137,1.159,36,1.491,29,2.113,15
GSM1589039,137,1.151,36,1.483,26,2.104,12
GSM1589041,137,1.092,24,1.404,14,1.989,8
GSM1589042,137,1.1,33,1.414,26,2.002,15
GSM1589043,137,1.096,30,1.407,22,1.991,9
GSM1589045,137,1.209,28,1.549,20,2.189,13
GSM1589054,137,1.182,26,1.505,18,2.11,8
GSM1589056,137,1.204,33,1.541,27,2.172,10
GSM1589058,137,1.274,29,1.632,18,2.304,10
GSM1589060,137,1.203,36,1.545,27,2.187,13
GSM1589061,137,1.232,34,1.574,19,2.214,9
GSM1589062,137,1.289,28,1.653,23,2.334,16
GSM1589063,137,1.159,28,1.486,17,2.1,8
